content,cleaning,case_folding,tokenization,normalization,stopword_removed,stemming,polarity_score,polarity,final,new_polarity
"Kemarin juni vaksin, dapetnya AstraZeneca. Alhamdulillah aman sejauh ini",Kemarin juni vaksin dapetnya AstraZeneca Alhamdulillah aman sejauh ini,kemarin juni vaksin dapetnya astrazeneca alhamdulillah aman sejauh ini,"['kemarin', 'juni', 'vaksin', 'dapetnya', 'astrazeneca', 'alhamdulillah', 'aman', 'sejauh', 'ini']","['kemarin', 'juni', 'vaksin', 'dapetnya', 'astrazeneca', 'alhamdulillah', 'aman', 'sejauh', 'ini']","['kemarin', 'juni', 'vaksin', 'dapetnya', 'astrazeneca', 'alhamdulillah', 'aman']","['kemarin', 'juni', 'vaksin', 'dapetnya', 'astrazeneca', 'alhamdulillah', 'aman']",9,positive,kemarin juni vaksin dapetnya astrazeneca alhamdulillah aman,0
@alandakariza @qronoz Di Bali vaksin publik mandiri di RS (AstraZeneca) masih gratis sih., Di Bali vaksin publik mandiri di RS AstraZeneca masih gratis sih , di bali vaksin publik mandiri di rs astrazeneca masih gratis sih ,"['di', 'bali', 'vaksin', 'publik', 'mandiri', 'di', 'rs', 'astrazeneca', 'masih', 'gratis', 'sih']","['di', 'bali', 'vaksin', 'publik', 'mandiri', 'di', 'rumah sakit', 'astrazeneca', 'masih', 'gratis', 'sih']","['bali', 'vaksin', 'publik', 'mandiri', 'rumah sakit', 'astrazeneca', 'gratis']","['bal', 'vaksin', 'publik', 'mandiri', 'rumah sakit', 'astrazeneca', 'gratis']",1,positive,bal vaksin publik mandiri rumah sakit astrazeneca gratis,0
"Tapi jika sebelumnya vaksin Astrazeneca, sudah dibuktikan bisa, aman. Disarankan kita utk konsul ke dokter untuk hal ini",Tapi jika sebelumnya vaksin Astrazeneca sudah dibuktikan bisa aman Disarankan kita utk konsul ke dokter untuk hal ini,tapi jika sebelumnya vaksin astrazeneca sudah dibuktikan bisa aman disarankan kita utk konsul ke dokter untuk hal ini,"['tapi', 'jika', 'sebelumnya', 'vaksin', 'astrazeneca', 'sudah', 'dibuktikan', 'bisa', 'aman', 'disarankan', 'kita', 'utk', 'konsul', 'ke', 'dokter', 'untuk', 'hal', 'ini']","['tapi', 'jika', 'sebelumnya', 'vaksin', 'astrazeneca', 'sudah', 'dibuktikan', 'bisa', 'aman', 'disarankan', 'kita', 'untuk', 'konsultasi', 'ke', 'dokter', 'untuk', 'hal', 'ini']","['vaksin', 'astrazeneca', 'dibuktikan', 'aman', 'disarankan', 'konsultasi', 'dokter']","['vaksin', 'astrazeneca', 'bukti', 'aman', 'saran', 'konsultasi', 'dokter']",3,positive,vaksin astrazeneca bukti aman saran konsultasi dokter,0
@anasanti_mila Alhamdulillah.. Jadi tenang mba.. Vaksin pertama aku pakai astrazeneca, Alhamdulillah Jadi tenang mba Vaksin pertama aku pakai astrazeneca, alhamdulillah jadi tenang mba vaksin pertama aku pakai astrazeneca,"['alhamdulillah', 'jadi', 'tenang', 'mba', 'vaksin', 'pertama', 'aku', 'pakai', 'astrazeneca']","['alhamdulillah', 'jadi', 'tenang', 'mbak', 'vaksin', 'pertama', 'aku', 'pakai', 'astrazeneca']","['alhamdulillah', 'tenang', 'mbak', 'vaksin', 'pakai', 'astrazeneca']","['alhamdulillah', 'tenang', 'mbak', 'vaksin', 'pakai', 'astrazeneca']",9,positive,alhamdulillah tenang mbak vaksin pakai astrazeneca,0
"vaksin terbaik adalah vaksin yang bisa kita dapatkan, jadi jangan pilih-pilih vaksin ya..
Vaksin yang diakui WHO
1. PT Bio Farma
2. Sinopharm
3. NovavaxÂ 
4. Sinovac
5. Pfizer BioNTech
6. Oxford-AstraZeneca",vaksin terbaik adalah vaksin yang bisa kita dapatkan jadi jangan pilih pilih vaksin ya Vaksin yang diakui WHO PT Bio Farma Sinopharm Novavax Sinovac Pfizer BioNTech Oxford AstraZeneca,vaksin terbaik adalah vaksin yang bisa kita dapatkan jadi jangan pilih pilih vaksin ya vaksin yang diakui who pt bio farma sinopharm novavax sinovac pfizer biontech oxford astrazeneca,"['vaksin', 'terbaik', 'adalah', 'vaksin', 'yang', 'bisa', 'kita', 'dapatkan', 'jadi', 'jangan', 'pilih', 'pilih', 'vaksin', 'ya', 'vaksin', 'yang', 'diakui', 'who', 'pt', 'bio', 'farma', 'sinopharm', 'novavax', 'sinovac', 'pfizer', 'biontech', 'oxford', 'astrazeneca']","['vaksin', 'terbaik', 'adalah', 'vaksin', 'yang', 'bisa', 'kita', 'dapatkan', 'jadi', 'jangan', 'pilih', 'pilih', 'vaksin', 'ya', 'vaksin', 'yang', 'diakui', 'who', 'pt', 'bio', 'farma', 'sinopharm', 'novavax', 'sinovac', 'pfizer', 'biontech', 'oxford', 'astrazeneca']","['vaksin', 'terbaik', 'vaksin', 'dapatkan', 'pilih', 'pilih', 'vaksin', 'vaksin', 'diakui', 'who', 'pt', 'bio', 'farma', 'sinopharm', 'novavax', 'sinovac', 'pfizer', 'biontech', 'oxford', 'astrazeneca']","['vaksin', 'baik', 'vaksin', 'dapat', 'pilih', 'pilih', 'vaksin', 'vaksin', 'aku', 'who', 'pt', 'bio', 'farma', 'sinopharm', 'novavax', 'sinovac', 'pfizer', 'biontech', 'oxford', 'astrazeneca']",-1,negative,vaksin baik vaksin dapat pilih pilih vaksin vaksin aku who pt bio farma sinopharm novavax sinovac pfizer biontech oxford astrazeneca,1
"Setelah di vaksin,minum Paracetamol,selang 1 jam minum vitamin c dan jangan lupa bekas suntikan langsung di kompres pake air hangat, Alhamdulillah..vaksin 1 dan 2 aman..(astrazeneca)",Setelah di vaksin minum Paracetamol selang jam minum vitamin c dan jangan lupa bekas suntikan langsung di kompres pake air hangat Alhamdulillah vaksin dan aman astrazeneca ,setelah di vaksin minum paracetamol selang jam minum vitamin c dan jangan lupa bekas suntikan langsung di kompres pake air hangat alhamdulillah vaksin dan aman astrazeneca ,"['setelah', 'di', 'vaksin', 'minum', 'paracetamol', 'selang', 'jam', 'minum', 'vitamin', 'c', 'dan', 'jangan', 'lupa', 'bekas', 'suntikan', 'langsung', 'di', 'kompres', 'pake', 'air', 'hangat', 'alhamdulillah', 'vaksin', 'dan', 'aman', 'astrazeneca']","['setelah', 'di', 'vaksin', 'minum', 'paracetamol', 'selang', 'jam', 'minum', 'vitamin', 'c', 'dan', 'jangan', 'lupa', 'bekas', 'suntikan', 'langsung', 'di', 'kompres', 'pakai', 'air', 'hangat', 'alhamdulillah', 'vaksin', 'dan', 'aman', 'astrazeneca']","['vaksin', 'minum', 'paracetamol', 'selang', 'jam', 'minum', 'vitamin', 'c', 'lupa', 'bekas', 'suntikan', 'langsung', 'kompres', 'pakai', 'air', 'hangat', 'alhamdulillah', 'vaksin', 'aman', 'astrazeneca']","['vaksin', 'minum', 'paracetamol', 'selang', 'jam', 'minum', 'vitamin', 'c', 'lupa', 'bekas', 'sunti', 'langsung', 'kompres', 'pakai', 'air', 'hangat', 'alhamdulillah', 'vaksin', 'aman', 'astrazeneca']",5,positive,vaksin minum paracetamol selang jam minum vitamin c lupa bekas sunti langsung kompres pakai air hangat alhamdulillah vaksin aman astrazeneca,0
"Untuk vaksin AstraZeneca...studi menunjukkan dosis kedua, respon imun yang muncul sama atau bisa lebih baik.",Untuk vaksin AstraZeneca studi menunjukkan dosis kedua respon imun yang muncul sama atau bisa lebih baik ,untuk vaksin astrazeneca studi menunjukkan dosis kedua respon imun yang muncul sama atau bisa lebih baik ,"['untuk', 'vaksin', 'astrazeneca', 'studi', 'menunjukkan', 'dosis', 'kedua', 'respon', 'imun', 'yang', 'muncul', 'sama', 'atau', 'bisa', 'lebih', 'baik']","['untuk', 'vaksin', 'astrazeneca', 'studi', 'menunjukkan', 'dosis', 'kedua', 'respon', 'imun', 'yang', 'muncul', 'sama', 'atau', 'bisa', 'lebih', 'baik']","['vaksin', 'astrazeneca', 'studi', 'dosis', 'respon', 'imun', 'muncul']","['vaksin', 'astrazeneca', 'studi', 'dosis', 'respon', 'imun', 'muncul']",4,positive,vaksin astrazeneca studi dosis respon imun muncul,0
Adek aku vaksin astrazeneca Tapi besok sorenya udah mendingan. Gak usah ragu vaksin ya temen-temen. Selama kalian ga ada komorbid ,Adek aku vaksin astrazeneca Tapi besok sorenya udah mendingan Gak usah ragu vaksin ya temen temen Selama kalian ga ada komorbid ,adek aku vaksin astrazeneca tapi besok sorenya udah mendingan gak usah ragu vaksin ya temen temen selama kalian ga ada komorbid ,"['adek', 'aku', 'vaksin', 'astrazeneca', 'tapi', 'besok', 'sorenya', 'udah', 'mendingan', 'gak', 'usah', 'ragu', 'vaksin', 'ya', 'temen', 'temen', 'selama', 'kalian', 'ga', 'ada', 'komorbid']","['adik', 'aku', 'vaksin', 'astrazeneca', 'tapi', 'besok', 'sorenya', 'sudah', 'lebih baik', 'tidak', 'usah', 'ragu', 'vaksin', 'ya', 'teman', 'teman', 'selama', 'kalian', 'tidak', 'ada', 'komorbid']","['adik', 'vaksin', 'astrazeneca', 'besok', 'sorenya', 'lebih baik', 'ragu', 'vaksin', 'teman', 'teman', 'komorbid']","['adik', 'vaksin', 'astrazeneca', 'besok', 'sore', 'lebih baik', 'ragu', 'vaksin', 'teman', 'teman', 'komorbid']",-3,negative,adik vaksin astrazeneca besok sore lebih baik ragu vaksin teman teman komorbid,1
"@bertanyarl boleh asal asmanya terkontrol nder dan blm kambuh dalam bbrp waktu terakhir sblm vaksin. aku jg ada asma kok, vaksin pake astrazeneca.", boleh asal asmanya terkontrol nder dan blm kambuh dalam bbrp waktu terakhir sblm vaksin aku jg ada asma kok vaksin pake astrazeneca , boleh asal asmanya terkontrol nder dan blm kambuh dalam bbrp waktu terakhir sblm vaksin aku jg ada asma kok vaksin pake astrazeneca ,"['boleh', 'asal', 'asmanya', 'terkontrol', 'nder', 'dan', 'blm', 'kambuh', 'dalam', 'bbrp', 'waktu', 'terakhir', 'sblm', 'vaksin', 'aku', 'jg', 'ada', 'asma', 'kok', 'vaksin', 'pake', 'astrazeneca']","['boleh', 'asal', 'asmanya', 'terkontrol', 'nder', 'dan', 'belum', 'kambuh', 'dalam', 'beberapa', 'waktu', 'terakhir', 'sebelum', 'vaksin', 'aku', 'juga', 'ada', 'asma', 'kok', 'vaksin', 'pakai', 'astrazeneca']","['asmanya', 'terkontrol', 'nder', 'kambuh', 'vaksin', 'asma', 'vaksin', 'pakai', 'astrazeneca']","['asma', 'kontrol', 'nder', 'kambuh', 'vaksin', 'asma', 'vaksin', 'pakai', 'astrazeneca']",-4,negative,asma kontrol nder kambuh vaksin asma vaksin pakai astrazeneca,1
Ikutlah demi kebaikan kamu juga nder. Di tempatku sih satu jenis (astrazeneca). ,Ikutlah demi kebaikan kamu juga nder Di tempatku sih satu jenis astrazeneca ,ikutlah demi kebaikan kamu juga nder di tempatku sih satu jenis astrazeneca ,"['ikutlah', 'demi', 'kebaikan', 'kamu', 'juga', 'nder', 'di', 'tempatku', 'sih', 'satu', 'jenis', 'astrazeneca']","['ikutlah', 'demi', 'kebaikan', 'kamu', 'juga', 'nder', 'di', 'tempatku', 'sih', 'satu', 'jenis', 'astrazeneca']","['ikutlah', 'kebaikan', 'nder', 'tempatku', 'jenis', 'astrazeneca']","['ikut', 'baik', 'nder', 'tempat', 'jenis', 'astrazeneca']",-4,negative,ikut baik nder tempat jenis astrazeneca,1
"ikutlah nder, bukan cuma demi kebaikan diri sendiri tapi buat orang disekitar kamu juga. di kota tetangga ada yg astrazeneca. biasanya vaksin pertama dan kedua dapetnya tetep vaksin yg sama",ikutlah nder bukan cuma demi kebaikan diri sendiri tapi buat orang disekitar kamu juga di kota tetangga ada yg astrazeneca biasanya vaksin pertama dan kedua dapetnya tetep vaksin yg sama,ikutlah nder bukan cuma demi kebaikan diri sendiri tapi buat orang disekitar kamu juga di kota tetangga ada yg astrazeneca biasanya vaksin pertama dan kedua dapetnya tetep vaksin yg sama,"['ikutlah', 'nder', 'bukan', 'cuma', 'demi', 'kebaikan', 'diri', 'sendiri', 'tapi', 'buat', 'orang', 'disekitar', 'kamu', 'juga', 'di', 'kota', 'tetangga', 'ada', 'yg', 'astrazeneca', 'biasanya', 'vaksin', 'pertama', 'dan', 'kedua', 'dapetnya', 'tetep', 'vaksin', 'yg', 'sama']","['ikutlah', 'nder', 'bukan', 'cuma', 'demi', 'kebaikan', 'diri', 'sendiri', 'tapi', 'buat', 'orang', 'disekitar', 'kamu', 'juga', 'di', 'kota', 'tetangga', 'ada', 'yang', 'astrazeneca', 'biasanya', 'vaksin', 'pertama', 'dan', 'kedua', 'dapetnya', 'tetap', 'vaksin', 'yang', 'sama']","['ikutlah', 'nder', 'kebaikan', 'orang', 'disekitar', 'kota', 'tetangga', 'astrazeneca', 'vaksin', 'dapetnya', 'vaksin']","['ikut', 'nder', 'baik', 'orang', 'sekitar', 'kota', 'tetangga', 'astrazeneca', 'vaksin', 'dapetnya', 'vaksin']",-2,negative,ikut nder baik orang sekitar kota tetangga astrazeneca vaksin dapetnya vaksin,1
"saran Pak Mentri, Vaksin Moderna, Pfizer, Astrazeneca semua nya dipake untuk Booster. Moderna dan Pfizer ut booster dan Astrazeneca untuk booster. Semoga berhasil.",saran Pak Mentri Vaksin Moderna Pfizer Astrazeneca semua nya dipake untuk Booster Moderna dan Pfizer ut booster dan Astrazeneca untuk booster Semoga berhasil ,saran pak mentri vaksin moderna pfizer astrazeneca semua nya dipake untuk booster moderna dan pfizer ut booster dan astrazeneca untuk booster semoga berhasil ,"['saran', 'pak', 'mentri', 'vaksin', 'moderna', 'pfizer', 'astrazeneca', 'semua', 'nya', 'dipake', 'untuk', 'booster', 'moderna', 'dan', 'pfizer', 'ut', 'booster', 'dan', 'astrazeneca', 'untuk', 'booster', 'semoga', 'berhasil']","['saran', 'pak', 'menteri', 'vaksin', 'moderna', 'pfizer', 'astrazeneca', 'semua', 'nya', 'dipakai', 'untuk', 'booster', 'moderna', 'dan', 'pfizer', 'ut', 'booster', 'dan', 'astrazeneca', 'untuk', 'booster', 'semoga', 'berhasil']","['saran', 'menteri', 'vaksin', 'moderna', 'pfizer', 'astrazeneca', 'dipakai', 'booster', 'moderna', 'pfizer', 'ut', 'booster', 'astrazeneca', 'booster', 'semoga', 'berhasil']","['saran', 'menteri', 'vaksin', 'moderna', 'pfizer', 'astrazeneca', 'pakai', 'booster', 'moderna', 'pfizer', 'ut', 'booster', 'astrazeneca', 'booster', 'moga', 'hasil']",3,positive,saran menteri vaksin moderna pfizer astrazeneca pakai booster moderna pfizer ut booster astrazeneca booster moga hasil,0
